23: crossover='subtree', crossover_probability='0.6239958596307945', max_tree_depth='8', max_tree_nodes='92', mutate_duplicates='False', mutation='subtree', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.14840252013184987', tournament_size='13', within_used='False'
24: crossover='subtree', crossover_probability='0.39895899545811964', max_tree_depth='14', max_tree_nodes='24552', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.7363413537183812', tournament_size='8', within_used='True'
25: crossover='variable_onepoint', crossover_probability='0.13475002359268684', max_tree_depth='12', max_tree_nodes='122261', mutate_duplicates='True', mutation='subtree', mutation_events='4', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.6042502336436554', tournament_size='18', within_used='True'
26: crossover='fixed_onepoint', crossover_probability='0.29406390782873465', max_tree_depth='13', max_tree_nodes='400907', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='7', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.8049948005969976', tournament_size='18', within_used='False'
27: crossover='fixed_onepoint', crossover_probability='0.4506644681443176', max_tree_depth='8', max_tree_nodes='1825', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.5018296483186616', tournament_size='2', within_used='False'
28: crossover='variable_onepoint', crossover_probability='0.28355089594058536', max_tree_depth='11', max_tree_nodes='882422', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.11695447012289036', tournament_size='4', within_used='True'
29: crossover='fixed_onepoint', crossover_probability='0.6834544869391304', max_tree_depth='8', max_tree_nodes='1222', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='8', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6359511452242733', tournament_size='9', within_used='True'
30: crossover='subtree', crossover_probability='0.18072099978745193', max_tree_depth='10', max_tree_nodes='16675', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='6', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.5112455618445461', tournament_size='5', within_used='False'
31: crossover='variable_onepoint', crossover_probability='0.8446443804523516', max_tree_depth='14', max_tree_nodes='3798', mutate_duplicates='False', mutation='subtree', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.8162676564417872', tournament_size='16', within_used='False'
32: crossover='variable_onepoint', crossover_probability='0.17484445474458205', max_tree_depth='9', max_tree_nodes='3380', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.8441706165701469', tournament_size='5', within_used='False'
33: crossover='subtree', crossover_probability='0.41685802348362067', max_tree_depth='13', max_tree_nodes='328', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.6544077271235136', tournament_size='2', within_used='True'
34: crossover='subtree', crossover_probability='0.1802805751241377', max_tree_depth='8', max_tree_nodes='34083', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.5008338159752369', tournament_size='20', within_used='True'
35: crossover='fixed_onepoint', crossover_probability='0.4432695214382515', max_tree_depth='11', max_tree_nodes='7373', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.8392787438212274', tournament_size='2', within_used='True'
36: crossover='fixed_twopoint', crossover_probability='0.17937338119891777', max_tree_depth='9', max_tree_nodes='84', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.8326699144416357', tournament_size='17', within_used='False'
37: crossover='variable_onepoint', crossover_probability='0.7553292251587097', max_tree_depth='13', max_tree_nodes='127', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='6', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.5760914584274339', tournament_size='18', within_used='True'
38: crossover='fixed_twopoint', crossover_probability='0.17731317914359482', max_tree_depth='11', max_tree_nodes='2719', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='4', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.6488555907895979', tournament_size='8', within_used='True'
39: crossover='variable_twopoint', crossover_probability='0.7282920507066203', max_tree_depth='9', max_tree_nodes='1161', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.43766701912023487', tournament_size='3', within_used='True'
40: crossover='fixed_twopoint', crossover_probability='0.6680364371913623', max_tree_depth='8', max_tree_nodes='240726', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.34497862485768216', tournament_size='11', within_used='False'
41: crossover='fixed_twopoint', crossover_probability='0.4728540206378352', max_tree_depth='13', max_tree_nodes='101964', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.6955734032209858', tournament_size='16', within_used='False'
42: crossover='fixed_twopoint', crossover_probability='0.5744240810329792', max_tree_depth='8', max_tree_nodes='75', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.495876439312549', tournament_size='7', within_used='True'
43: crossover='fixed_twopoint', crossover_probability='0.8980052844584018', max_tree_depth='13', max_tree_nodes='892405', mutate_duplicates='True', mutation='subtree', mutation_events='8', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.4691595364770871', tournament_size='8', within_used='True'
44: crossover='fixed_twopoint', crossover_probability='0.5542398406370163', max_tree_depth='12', max_tree_nodes='72', mutate_duplicates='True', mutation='int_flip_per_ind', mutation_events='10', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.3595719589398344', tournament_size='5', within_used='True'
