Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,84.21715184972432,0,600.0,15023845,42.0,20.0,1,84.21715184972432,0,42.0,SAT,0,45.314,
2,1,1,87.75599418457446,0,600.0,1797517,23.0,20.0,1,87.75599418457446,1,65.0,SAT,0,26.224,
3,2,1,1.0E9,0,600.0,1797517,0.0,0.0,-1,1.0E9,1,65.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.246,
4,1,1,1.0E9,0,600.0,3419879,0.0,0.0,-1,1.0E9,1,65.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,12.974,
5,3,1,1.0E9,0,600.0,1797517,0.0,0.0,-1,1.0E9,1,65.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.944,
6,1,1,89.56612052324319,0,600.0,9220315,25.0,20.0,1,89.56612052324319,2,90.0,SAT,0,27.308,
7,4,1,1.0E9,0,600.0,1797517,0.0,0.0,-1,1.0E9,2,90.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.363,
8,1,1,85.93887767628178,0,600.0,12733796,45.0,20.0,1,85.93887767628178,2,135.0,SAT,0,47.537,
9,5,1,1.0E9,0,600.0,9220315,0.0,0.0,-1,1.0E9,2,135.0,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.721,
10,1,1,83.64212356977632,0,600.0,2494225,28.0,20.0,1,83.64212356977632,3,163.0,SAT,0,30.221,
11,6,1,95.5360672776266,0,600.0,2494225,9.0,20.0,1,95.5360672776266,3,172.0,SAT,0,11.648,
12,6,1,96.64981992919488,0,600.0,15023845,9.0,20.0,1,96.64981992919488,3,181.0,SAT,0,11.499,
