ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
2.356416542607327	26.074	6.972	22.682	17.514	19.988051231758554	0	0	115	10	102	77	3	3	3	2	0	144	0	11.365225553512573	500	11.365225553512573	336	32.8	
3.2838162872590444	30.33	7.653846153846154	22.143356643356643	17.13986013986014	19.988051231758554	1	215	115	14.0	77.0	59.0	3	3.0	3.0	2.0	0	148	0	0.6448242664337158	1000	12.010049819946289	493	50.7	
4.5477865713260535	31.276	8.477142857142857	24.942857142857143	19.46	19.988051231758554	2	366	95	15.0	98.0	75.0	3	3.0	3.0	2.0	0	149	0	0.8101236820220947	1500	12.820173501968384	665	55.666666666666664	
6.440432562754743	33.816	9.117977528089888	27.40730337078652	21.578651685393258	21.98655763572835	3	511	95	15.0	97.0	75.0	6	3.0	3.0	2.0	0	150	0	0.996469259262085	2000	13.816642761230469	838	58.1	
8.196212776315036	33.5	9.057692307692308	27.376373626373628	21.664835164835164	21.98655763572835	4	647	93	15.0	93.0	68.0	5	3.0	3.0	2.0	0	151	0	1.0691919326782227	2500	14.885834693908691	1017	59.32	
8.54759008556218	36.936	9.696132596685082	30.502762430939228	24.23756906077348	21.98655763572835	5	785	93	16.0	93.0	68.0	8	3.0	3.0	2.0	0	151	0	1.0737180709838867	3000	15.959552764892578	1204	59.86666666666667	
9.218795336177143	37.856	9.847025495750708	30.01416430594901	23.946175637393768	32.51487666544799	6	933	93	17.0	93.0	68.0	7	3.0	3.0	2.0	0	151	0	1.2367055416107178	3500	17.196258306503296	1380	60.57142857142857	
9.656858408657714	37.73	10.158192090395481	30.951977401129945	24.740112994350284	32.51487666544799	7	1080	93	21.0	93.0	69.0	9	3.0	3.0	2.0	0	151	0	1.3952977657318115	4000	18.591556072235107	1566	60.85	
10.497303371593919	37.298	10.138504155124654	29.617728531855956	23.695290858725762	32.51487666544799	8	1219	93	22.0	96.0	70.0	8	3.0	3.0	2.0	0	151	0	1.2995123863220215	4500	19.89106845855713	1735	61.44444444444444	
11.83933000798035	39.158	10.620111731843576	31.329608938547487	25.31564245810056	35.410422167871054	9	1362	88	18.0	96.0	70.0	9	3.0	3.0	2.0	0	151	0	1.4148354530334473	5000	21.305903911590576	1917	61.66	
12.266534538095602	40.826	10.819672131147541	33.259562841530055	26.937158469945356	35.410422167871054	10	1497	88	18.0	96.0	70.0	5	3.0	3.0	2.0	0	151	0	1.6025991439819336	5500	22.90850305557251	2116	61.527272727272724	
