Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
39,20,1,1.0E9,0,600.0,16064365,0.0,0.0,-1,1.0E9,10,12376.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,12.152,
40,1,1,81.20774184178019,0,600.0,1842318,14.0,20.0,1,81.20774184178019,10,12390.283499999998,SAT,0,16.547,
41,21,1,94.6949795803223,0,600.0,1842318,9.0,20.0,1,94.6949795803223,10,12399.283499999998,SAT,0,11.347,
42,1,1,86.64697996417695,0,600.0,3077357,11.0,20.0,1,86.64697996417695,11,12410.283499999998,SAT,0,13.886,
43,22,1,1.0E9,0,600.0,3210949,0.0,0.0,-1,1.0E9,11,12410.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.83,
44,1,1,85.79264752300243,0,600.0,5835093,13.0,20.0,1,85.79264752300243,11,12423.283499999998,SAT,0,15.925,
45,23,1,1.0E9,0,600.0,14966462,0.0,0.0,-1,1.0E9,11,12423.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.171,
46,1,1,90.46038247257351,0,600.0,1406314,13.0,20.0,1,90.46038247257351,12,12436.283499999998,SAT,0,15.743,
47,24,1,1.0E9,0,600.0,3210949,0.0,0.0,-1,1.0E9,12,12436.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,11.635,
48,1,1,78.86146013279934,0,600.0,15827795,16.0,20.0,1,78.86146013279934,12,12452.283499999998,SAT,0,18.743,
49,25,1,1.0E9,0,600.0,13624930,0.0,0.0,-1,1.0E9,12,12452.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.29,
50,1,1,82.75266348933522,0,600.0,2675484,10.0,20.0,1,82.75266348933522,13,12462.283499999998,SAT,0,12.48,
51,26,1,1.0E9,0,600.0,5793249,0.0,0.0,-1,1.0E9,13,12462.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,554.129,
52,1,1,88.82974193935446,0,600.0,12098776,10.0,20.0,1,88.82974193935446,13,12472.283499999998,SAT,0,12.47,
53,27,1,1.0E9,0,600.0,5793249,0.0,0.0,-1,1.0E9,13,12472.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,9.977,
54,1,1,82.73012659253985,0,600.0,11882636,11.0,20.0,1,82.73012659253985,14,12483.283499999998,SAT,0,13.822,
55,28,1,1.0E9,0,600.0,10374912,0.0,0.0,-1,1.0E9,14,12483.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,498.603,
56,1,1,85.78774969409015,0,600.0,16602464,11.0,20.0,1,85.78774969409015,14,12494.283499999998,SAT,0,13.773,
57,29,1,1.0E9,0,600.0,3224644,0.0,0.0,-1,1.0E9,14,12494.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,9.965,
58,1,1,87.20293926766814,0,600.0,8597254,17.0,20.0,1,87.20293926766814,15,12511.283499999998,SAT,0,18.941,
59,30,1,1.0E9,0,600.0,5720238,0.0,0.0,-1,1.0E9,15,12511.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.551,
60,1,1,87.77819921799947,0,600.0,3439150,10.0,20.0,1,87.77819921799947,15,12521.283499999998,SAT,0,12.856,
61,31,1,1.0E9,0,600.0,7023148,0.0,0.0,-1,1.0E9,15,12521.283499999998,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.477,
62,1,1,82.99195733832283,0,600.0,1002487,23.0,20.0,1,82.99195733832283,16,12544.283499999998,SAT,0,25.563,
63,32,1,1.0E9,0,600.0,9851017,6000.65695,0.0,-1,1.0E9,16,18544.94045,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,6316.481,
64,1,1,88.06628824239327,0,600.0,2566076,14.0,20.0,1,88.06628824239327,16,18558.94045,SAT,0,16.249,
65,33,1,1.0E9,0,600.0,15827795,0.0,0.0,-1,1.0E9,16,18558.94045,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,10.705,
66,1,1,84.62580260802076,0,600.0,5625945,15.0,20.0,1,84.62580260802076,17,18573.94045,SAT,0,18.271,
67,34,1,82.2203806151505,0,600.0,5793249,25.0,20.0,1,82.2203806151505,17,18598.94045,SAT,0,27.481,
68,34,1,84.72685050056039,0,600.0,12098776,17.0,20.0,1,84.72685050056039,17,18615.94045,SAT,0,19.64,
69,34,1,87.81550204744377,0,600.0,2351854,21.0,20.0,1,87.81550204744377,17,18636.94045,SAT,0,23.774,
70,1,1,83.55100203172645,0,600.0,1181656,32.0,20.0,1,83.55100203172645,17,18668.94045,SAT,0,34.587,
71,35,1,85.36193026502377,0,600.0,8205317,12.0,20.0,1,85.36193026502377,17,18680.94045,SAT,0,15.227,
72,1,1,90.39845700926263,0,600.0,9228451,13.0,20.0,1,90.39845700926263,18,18693.94045,SAT,0,15.654,
73,36,1,1.0E9,0,600.0,3077357,0.0,0.0,-1,1.0E9,18,18693.94045,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,11.34,
74,1,1,83.14814964569712,0,600.0,288533,19.0,20.0,1,83.14814964569712,18,18712.94045,SAT,0,21.954,
75,37,1,94.3777071428047,0,600.0,4313519,10.0,20.0,1,94.3777071428047,18,18722.94045,SAT,0,12.764,
76,1,1,82.61076769631683,0,600.0,2560151,20.0,20.0,1,82.61076769631683,19,18742.94045,SAT,0,23.125,
77,38,1,1.0E9,0,600.0,3077357,0.0,0.0,-1,1.0E9,19,18742.94045,CRASHED,ERROR: Wrapper did not output anything that matched the expected output ("Result of algorithm run:..."). Please try executing the wrapper directly,13.228,
78,1,1,92.28253123469293,0,600.0,12517203,11.0,20.0,1,92.28253123469293,19,18753.94045,SAT,0,14.151,
79,39,1,1.0E9,0,600.0,3439150,6000.65885,0.0,-1,1.0E9,19,24754.599299999998,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,6316.483,
80,1,1,86.92833224253694,0,600.0,15743371,13.0,20.0,1,86.92833224253694,20,24767.599299999998,SAT,0,16.506,
81,40,1,91.76340945342743,0,600.0,1072651,12.0,20.0,1,91.76340945342743,20,24779.599299999998,SAT,0,14.48,
82,1,1,85.43364789545136,0,600.0,7616303,16.0,20.0,1,85.43364789545136,20,24795.599299999998,SAT,0,19.351,
83,41,1,96.11433217811933,0,600.0,2675484,9.0,20.0,1,96.11433217811933,20,24804.599299999998,SAT,0,11.34,
84,1,1,86.56326345442844,0,600.0,8817813,14.0,20.0,1,86.56326345442844,21,24818.599299999998,SAT,0,16.929,
