1: crossover='subtree', crossover_probability='0.75', max_tree_depth='15', max_tree_nodes='1000', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5', tournament_size='2', within_used='True'
2: crossover='subtree', crossover_probability='0.3084546044167869', max_tree_depth='87', max_tree_nodes='62', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.822330661518074', tournament_size='12', within_used='True'
3: crossover='variable_twopoint', crossover_probability='0.37614836751676906', max_tree_depth='44', max_tree_nodes='567', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='8', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.3056550832794927', tournament_size='12', within_used='True'
4: crossover='variable_onepoint', crossover_probability='0.8736490282720791', max_tree_depth='87', max_tree_nodes='218', mutate_duplicates='False', mutation='subtree', mutation_events='10', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.655124935677297', tournament_size='6', within_used='True'
5: crossover='fixed_twopoint', crossover_probability='0.15105184375841746', max_tree_depth='10', max_tree_nodes='421', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='3', no_crossover_invalids='True', no_mutation_invalids='True', selection='truncation', selection_proportion='0.7582988440086387', tournament_size='13', within_used='False'
6: crossover='fixed_twopoint', crossover_probability='0.8048711842849108', max_tree_depth='28', max_tree_nodes='250', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='5', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.8083759758067698', tournament_size='8', within_used='False'
7: crossover='fixed_twopoint', crossover_probability='0.45447486587612673', max_tree_depth='77', max_tree_nodes='95', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='6', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.28259723728330216', tournament_size='10', within_used='False'
8: crossover='fixed_twopoint', crossover_probability='0.3748532815239439', max_tree_depth='8', max_tree_nodes='583', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='4', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.12538294584746126', tournament_size='16', within_used='True'
9: crossover='variable_twopoint', crossover_probability='0.3660281159767761', max_tree_depth='55', max_tree_nodes='658', mutate_duplicates='False', mutation='subtree', mutation_events='8', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.4543513849725159', tournament_size='15', within_used='False'
10: crossover='fixed_twopoint', crossover_probability='0.8473124754768845', max_tree_depth='75', max_tree_nodes='886', mutate_duplicates='True', mutation='subtree', mutation_events='2', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.4000433152055052', tournament_size='5', within_used='True'
11: crossover='fixed_twopoint', crossover_probability='0.5735267870866996', max_tree_depth='14', max_tree_nodes='176', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='5', no_crossover_invalids='False', no_mutation_invalids='False', selection='truncation', selection_proportion='0.25310213564217526', tournament_size='20', within_used='True'
12: crossover='fixed_twopoint', crossover_probability='0.22229607806668492', max_tree_depth='46', max_tree_nodes='980', mutate_duplicates='True', mutation='int_flip_per_codon', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='True', selection='tournament', selection_proportion='0.2981040918356615', tournament_size='12', within_used='True'
13: crossover='variable_onepoint', crossover_probability='0.4432792286303996', max_tree_depth='77', max_tree_nodes='498', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='True', no_mutation_invalids='False', selection='tournament', selection_proportion='0.838586223216933', tournament_size='4', within_used='True'
14: crossover='fixed_onepoint', crossover_probability='0.24856667241967917', max_tree_depth='86', max_tree_nodes='999', mutate_duplicates='False', mutation='int_flip_per_ind', mutation_events='2', no_crossover_invalids='False', no_mutation_invalids='False', selection='tournament', selection_proportion='0.7177643656459668', tournament_size='4', within_used='False'
15: crossover='variable_twopoint', crossover_probability='0.881571065229908', max_tree_depth='90', max_tree_nodes='67', mutate_duplicates='False', mutation='int_flip_per_codon', mutation_events='9', no_crossover_invalids='False', no_mutation_invalids='True', selection='truncation', selection_proportion='0.6850126695770297', tournament_size='7', within_used='False'
