"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " crossover='subtree', crossover_probability='0.75', max_tree_depth='14', max_tree_nodes='1000000', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5', tournament_size='2', within_used='True'","NaN"
"28.296875"," 89.11818973235236","31.253","1","0.296875", " crossover='subtree', crossover_probability='0.75', max_tree_depth='14', max_tree_nodes='1000000', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5', tournament_size='2', within_used='True'","NaN"
"52.578125"," 87.28149755890885","57.884","1","0.578125", " crossover='subtree', crossover_probability='0.75', max_tree_depth='14', max_tree_nodes='1000000', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='False', no_mutation_invalids='True', selection='tournament', selection_proportion='0.5', tournament_size='2', within_used='True'","89.11818973235235"
"141.640625"," 77.04160321556441","152.203","2","0.640625", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","89.11818973235235"
"178.6875"," 77.08064345186538","191.673","2","0.6875", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","89.11818973235235"
"203.928125"," 77.98457708279909","229.112","2","0.84375", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","1.666667343008209E8"
"256.959375"," 76.94562146829819","287.251","2","0.859375", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","1.666667343008209E8"
"299.20000000000005"," 77.79023395397545","342.11","2","1.0", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","82.22389960238127"
"335.30000000000007"," 77.9233177118314","391.318","2","1.0", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","82.22389960238127"
"369.4781250000001"," 77.73661880555422","438.327","2","1.078125", " crossover='variable_twopoint', crossover_probability='0.3348414472034348', max_tree_depth='13', max_tree_nodes='277', mutate_duplicates='True', mutation='subtree', mutation_events='1', no_crossover_invalids='True', no_mutation_invalids='False', selection='truncation', selection_proportion='0.10815758831491414', tournament_size='14', within_used='True'","79.79495368124688"
